,Date,Day,Month,Year,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed ,Injured Min,Injured ,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Weekend
59,26,Sunday,August,2007,13 Sha’ban 1428,Holiday,Weekend,,Shangla ,34.8015,72.757,KPK,Machaar area of Shangla District ,Police Rangers,High,Open,,Police_Rangers,,,4.0,,2.0,1.0,,,27.475,81.455,1
60,1,Saturday,September,2007,19 Sha’ban 1428,Working Day,Weekend,10:00:00,Bajaur Agency,34.8718,71.5249,FATA,Truck carrying security personeel was attacked in Mamond area,Mobile,High,Open,truck carrying security personnel,Military,,3.0,7.0,4.0,9.0,1.0,,"1.Agency Headquarters 
hospital",28.84,83.912,1
61,1,Saturday,September,2007,19 Sha’ban 1428,Working Day,Weekend,,South Waziristan,32.3202,69.8597,FATA,check-post of the troops in the Jandola area of South Waziristan.,Military,High,Closed,,Military,,,0.0,,,1.0,,,29.58,85.244,1
62,4,Tuesday,September,2007,22 Sha’ban 1428,Working Day,,07:15:00,Rawalpindi,33.6058,73.0437,Punjab,1.Qasim Market Defence Ministry Bus,Mobile,High,Open,,Military,,18.0,25.0,,,2.0,,"1.District Headquarters Rwp
2.Rwp General Hospital",27.15,80.87,0
63,4,Tuesday,September,2007,22 Sha’ban 1428,Working Day,,07:15:00,Rawalpindi,33.6058,73.0437,Punjab,Near R.A Bazar behind general Headquarters ,Market,Low,Open,,Military,,,7.0,,,1.0,,"1.District Headquarters Rwp
2.Rwp General Hospital",27.15,80.87,0
64,11,Tuesday,September,2007,29 Sha’ban 1428,Working Day,,,D.G Khan,31.8238,70.9095,KPK,Passanger van at Bannu adda/chungi,Mobile,Low,Open,,Civilian,,17.0,19.0,16.0,19.0,1.0,,"DI Khan Headquarter
 hospital",30.815,87.46700000000001,0
65,13,Thursday,September,2007,01 Ramadhan 1428,Working Day,Ramadan,19:15:00,Haripur,34.0011,72.9372,KPK,army officers mess in Tarbela ghazi,Military,High,Closed, military convoy,Military,,15.0,20.0,11.0,46.0,1.0,,"1.Wapda Hospital    2.CMH Pindi 
3.CMH Attock",26.975,80.555,0
66,22,Saturday,September,2007,10 Ramadhan 1428,Working Day,Weekend,02:00:00,Tank,32.226,70.3761,KPK,military convoy going from Tank,Mobile,High,Open, ,Military,,,5.0,3.0,10.0,1.0,,,24.705,76.469,1
67,1,Monday,October,2007,19 Ramadhan 1428,Working Day,Ramadan,08:30:00,bannu,32.9861,70.6042,KPK,checkpost near Dawa bridge/Durani Abshar Chowk,Police Rangers,High,Open,,Police_Rangers,,,16.0,29.0,32.0,1.0,,"1.District Headquartar 
Hospital",24.57,76.226,0
68,18,Thursday,October,2007,06 Shawwal 1428,Working Day,,12:00 mid night,Karachi,24.9918,66.9911,Sindh,"Benazir Survives midnight 
carnage Karsaz bridge Sharea Faisal",Mobile,High,Open,Rally ppp,Government Official,,125.0,145.0,100.0,550.0,2.0,,"1.Jinnah Hospital 
2.Liaquat hospital",28.025,82.445,0
69,25,Thursday,October,2007,13 Shawwal 1428,Working Day,,14:45:00,Swat,35.2227,72.4258,KPK,Mingora Police & Rangers Line ,Mobile,High,Open,,Military,,20.0,38.0,28.0,35.0,1.0,,1.Saidu Shrif hospital,21.025,69.845,0
70,30,Tuesday,October,2007,18 Shawwal 1428,Working Day,,11:50:00,Rawalpindi,33.6058,73.0437,Punjab,"Rawalpindi Police & Rangers checkpoint 
security zone",Police Rangers,High,Open,,Military,,7.0,8.0,18.0,31.0,1.0,,1.CMH 2.Civil hospital,20.905,69.62899999999999,0
71,1,Thursday,November,2007,20 Shawwal 1428,Working Day,,07:10:00,Sargodha,32.0791,72.6718,Punjab,PAF Bus on faisalabad road-Sargodha ,Mobile,High,Open,PAF Bus,Military,,8.0,10.0,27.0,40.0,1.0,10 kg ,"1.PAF Sargodha 
2.CMH Rwp",20.82,69.476,0
72,9,Friday,November,2007,28 Shawwal 1428,Holiday,Iqbal Day,16:15:00,Peshawar,34.0043,71.5448,KPK,"Peshawar Federal minister 
political amir muqam house",Residential,Low,Closed,Political Affairs meeting,Government Official,,3.0,4.0,2.0,5.0,1.0,5 to 6 Kg,1.Hayatabad Medical Complex,19.445,67.001,0
73,24,Saturday,November,2007,14 Dhul-Qi’dah 1428,Working Day,Weekend,07:40:00,Rawalpindi,33.6058,73.0437,Punjab,Bus carrying ISI officals parked outside Hamza Camp faizabad ,Mobile,High,Open,Hamza camp,Military,,17.0,38.0,,35.0,1.0,,"1.Military Hospital 
2.Rawalpindi hospital",15.555,59.998999999999995,1
74,24,Saturday,November,2007,14 Dhul-Qi’dah 1428,Working Day,Weekend,07:50:00,Rawalpindi,33.6058,73.0437,Punjab,GHQ,Military,High,Open,,Military,,,1.0,2.0,5.0,1.0,,,15.555,59.998999999999995,1
75,4,Tuesday,December,2007,24 Dhul-Qi’dah 1428,Working Day,,,Peshawar,34.0043,71.5448,KPK,Checkpost high-security cantonment area babar road,Military,High,Open,,Military,,,1.0,,0.0,1.0,,,14.73,58.513999999999996,0
76,9,Sunday,December,2007,29 Dhul-Qi’dah 1428,Holiday,Weekend,11:15:00 AM/12:30 PM,Swat,35.2227,72.4258,KPK,Ningolai Security checkpost,Police Rangers,High,Open,,Police_Rangers,,10.0,13.0,,2.0,1.0,10 to 15 kg,,11.925,53.465,1
77,10,Monday,December,2007,30 Dhul-Qi’dah 1428,Working Day,,7:24:00 AM/7:30AM,Attock,33.7645,72.3667,Punjab,Truck carrying school children near Fauji gate Pakistan Aeranautical Complex,Mobile,Low,Open,,Children_Women,,,0.0,7.0,22.0,1.0,,1.CMH Rwp,12.13,53.833999999999996,0
78,13,Thursday,December,2007,03 Dhul-Hijjah 1428,Working Day,,16:50:00,Quetta,30.2095,67.0182,Balochistan,military Checkpost ,Military,High,Open,,Military,,5.0,12.0,22.0,23.0,2.0,,1.CMH hospital,4.16,39.488,0
79,15,Saturday,December,2007,05 Dhul-Hijjah 1428,Working Day,Weekend,09:25:00,Nowshehra,34.0322,73.0944,KPK,Noshera security check post,Military,High,Open,,Military,,5.0,6.0,11.0,20.0,1.0,,1.CMH Nowshera,9.515,49.126999999999995,1
80,17,Monday,December,2007,07 Dhul-Hijjah 1428,Working Day,,12:30:00,Kohat,33.5833,71.4333,KPK,Kohatcantt-fountain round about-near army public school,Military,High,Open,recruits returning to barracks after morning exercise,Military,,,12.0,2.0,5.0,1.0,more than 5Kg,Combine Military hospital,11.345,52.42100000000001,0
81,21,Friday,December,2007,11 Dhul-Hijjah 1428,Holiday,Eid-ul-azha,,Charsadda,34.1509,71.7359,KPK,CharsaddaJamiya Masjid ,Religious,Medium,Closed,Masjid,Civilian,Sunni,,60.0,,200.0,1.0,5 to 6 kg,,15.0,59.0,0
82,23,Sunday,December,2007,13 Dhul-Hijjah 1428,Holiday,Weekend,18:00:00,Swat,35.2227,72.4258,KPK,military convoy hit in mingora,Mobile,High,Open,,Military,,9.0,14.0,,23.0,1.0,,,12.76,54.968,1
83,27,Thursday,December,2007,17 Dhul-Hijjah 1428,Working Day,,17:10:00,Rawalpindi,33.6058,73.0437,Punjab,Rawalpindi Liaquat Bagh Park,Parks Grounds,Low,Open,attack on Benazir Bhutto,Government official,,21.0,30.0,48.0,70.0,1.0,,Rawalpindi General hospital,10.21,50.378,0
84,7,Monday,January,2008,28 Dhul-Hijjah 1428,Working Day,,11:15:00,Swat,35.2227,72.4258,KPK,infront of frontier house kabal,Military,High,Open,Security forces ,Military,,,,12.0,13.0,1.0,,,6.77,44.18600000000001,0
85,10,Thursday,January,2008,01 Muharram 1429,Working Day,Islamic New Year,11:40:00,Lahore,31.5451,74.3407,Punjab,LahoreHigh court ,Government,High,Open,lawyers protest rally was about to start. All of them were present inside the court. Bomber targeted the Police & Rangers officials outside the court,Police_Rangers,,24.0,26.0,73.0,80.0,1.0,15 kg,1.Mayo-Ganga ram hospital,13.89,57.001999999999995,0
86,15,Tuesday,January,2008,06 Muharram 1429,Working Day,,10:30:00,Mohmand agency ,32.9746,70.1456,FATA,checkpoint of security forces in Khapakh Kando near Ghalanai,Military,High,Open,Frontier Constabulary,Military,,1.0,1.0,,,1.0,,Ghalani hospital,5.145,41.261,0
87,17,Thursday,January,2008,08 Muharram 1429,Working Day,,6:00:00 PM/6:55PM,Peshawar,34.0043,71.5448,KPK,Mirza Qasim baig Imambargah Jangi Mohallah-Kohati,Religious,Medium,Closed,Imambargah,Religious,Shiite,10.0,12.0,,25.0,1.0,3 kg explosive and 3kg ball bearings,1.Lady Reading hospital,12.34,54.211999999999996,0
88,1,Friday,February,2008,23 Muharram 1429,Working Day,,16:30:00,North Waziristan,32.9746,70.1456,FATA,Kajhori checkpost north waziristan,Police Rangers,High,Open,Checkpost ,Police_Rangers,,5.0,7.0,13.0,15.0,1.0,,1.CMH bannu 2.MH Bannu,2.475,36.455,0
89,4,Monday,February,2008,26 Muharram 1429,Working Day,,7:24:00 AM/7:25AM/7:30 AM,Rawalpindi,33.6058,73.0437,Punjab,Infront of NLC office near GHQ Rwp,Mobile,High,Open,bus carrying students and officials of army medical college-,Military,,8.0,10.0,27.0,47.0,1.0,6-7kg,1.CMH 2.MH 3. DHQ,8.42,47.156000000000006,0
90,5,Tuesday,February,2008,27 Muharram 1429,Working Day,,NA ,Quetta,30.2095,67.0182,Balochistan,QuettaKhilji Conlony,Parks Grounds,Low,Open,Khilji colony,Civilian,,,1.0,,1.0,1.0,,,-2.37,27.734,0
91,9,Saturday,February,2008,02 Safar 1429,Working Day,Weekend,NA ,Charsadda,34.1509,71.7359,KPK,Nakai in Charsadda,Residential,Low,Closed,Awami National Party meeting was in progress,Government Official,,25.0,27.0,35.0,51.0,1.0,,1.Lady Reading Hospital 2. DHQ Charsadda,7.935,46.283,1
92,11,Monday,February,2008,04 Safar 1429,Working Day,,12:55:00,North Waziristan,32.9746,70.1456,FATA,Aidak village in mirali-near miranshah,Religious,Low,Open,ANP gathring,Government official,,6.0,10.0,9.0,13.0,1.0,,,2.245,36.041,0
